region,lga,ward_merge,village_merge,select_wpt_name,new_wpt_name,wpt_name,wpt_code,wpt_type,wpt_type_other,wpt_status,wpt_non_functional_reason,wpt_non_functional_reason_other,wpt_pbr_status,wpt_call_status,pbr_nonfunctional_functional,pbr_functional_nonfunctional,call_nonfunctional_functional,call_functional_nonfunctional,wpt_pbr_scheme,scheme_merge,scheme_name_change,lat,long,wpt_image,numbertaps
Morogoro,Morogoro,Mvuha,Mvuha,NA,Mvuha shule ya msingi,Mvuha shule ya msingi,NA,handpump_ringwell,NA,Not_functional,7,NA,NA,NA,NA,NA,NA,NA,NA,KEA,NA,-7.198127583,37.85533158,http://classic.ona.io/api/v1/files/2382694?filename=pbrtz/attachments/1474299289319.jpg,NA
Morogoro,Morogoro,Mvuha,Mvuha,NA,Kwa kawesa,Kwa kawesa,NA,handpump_borehole,NA,Not_functional,7,NA,NA,NA,NA,NA,NA,NA,NA,KEA,NA,-7.185774102,37.85641843,http://classic.ona.io/api/v1/files/2382692?filename=pbrtz/attachments/1474344761807.jpg,NA
Morogoro,Morogoro,Mvuha,Mvuha,NA,Kwa kawesa,Kwa kawesa,NA,handpump_ringwell,NA,Not_functional,6,NA,NA,NA,NA,NA,NA,NA,NA,Holand,NA,-7.1858148,37.85644965,http://classic.ona.io/api/v1/files/2382696?filename=pbrtz/attachments/1474345044879.jpg,NA
Morogoro,Morogoro,Mvuha,Mvuha,NA,Misufini,Misufini,NA,handpump_borehole,NA,Functional,NA,NA,NA,NA,NA,NA,NA,NA,NA,Holand,NA,-7.191341394,37.84743924,http://classic.ona.io/api/v1/files/2382731?filename=pbrtz/attachments/1474346185653.jpg,NA
Morogoro,Morogoro,Mvuha,Mvuha,NA,Kanisani katoliki,Kanisani katoliki,NA,communal_standpipe,NA,Not_functional,7,NA,NA,NA,NA,NA,NA,NA,NA,Mission,NA,-7.189065573,37.85174484,http://classic.ona.io/api/v1/files/2382728?filename=pbrtz/attachments/1474346792282.jpg,NA
Morogoro,Morogoro,Mvuha,Mvuha,Shule_Ya_Msingi_Mvuha_05023043031WP53,NA,Shule_Ya_Msingi_Mvuha_05023043031WP53,05023043031WP53,communal_standpipe,NA,Not_functional,7,NA,Not_functional,NA,NA,NA,NA,NA,Mvuha/Dalla_Water_Supply,World bank,NA,-7.197675511,37.85444227,http://classic.ona.io/api/v1/files/2382726?filename=pbrtz/attachments/1474347557798.jpg,1
Morogoro,Morogoro,Mvuha,Mvuha,NA,Sokoni,Sokoni,NA,handpump_ringwell,NA,Not_functional,7,NA,NA,NA,NA,NA,NA,NA,NA,KEA,NA,-7.197712806,37.85308785,http://classic.ona.io/api/v1/files/2382729?filename=pbrtz/attachments/1474348212060.jpg,NA
Morogoro,Morogoro,Mvuha,Mvuha,Sokoni_05023043031WP54,NA,Sokoni_05023043031WP54,05023043031WP54,communal_standpipe,NA,Not_functional,10 7,NA,Not_functional,NA,NA,NA,NA,NA,Mvuha/Dalla_Water_Supply,World bank,Because the scheme started fromDala to Mvuha,-7.197233675,37.85312063,http://classic.ona.io/api/v1/files/2382733?filename=pbrtz/attachments/1474348610760.jpg,1
Morogoro,Morogoro,Mvuha,Mvuha,NA,Kwa Rehema Jongo,Kwa Rehema Jongo,NA,handpump_borehole,NA,Not_functional,6 7,NA,NA,NA,NA,NA,NA,NA,NA,Holand,NA,-7.19734319,37.85206601,http://classic.ona.io/api/v1/files/2382749?filename=pbrtz/attachments/1474349120084.jpg,NA
Morogoro,Morogoro,Mvuha,Mvuha,NA,Kwa mzee mtemang'ande,Kwa mzee mtemang'ande,NA,handpump_borehole,NA,Not_functional,6 7,NA,NA,NA,NA,NA,NA,NA,NA,Holand,NA,-7.200442491,37.84373663,http://classic.ona.io/api/v1/files/2382748?filename=pbrtz/attachments/1474350577918.jpg,NA
